,Team,Player,Tournament,Matches,Highest Score,Batting Average,Balls Faced
1,Delhi Daredevils,CH Morris,IPL 2017,9,52*,30.80,94
2,Delhi Daredevils,CH Morris,IPL 2018,4,27*,46.00,26
3,Delhi Daredevils,JP Duminy,IPL 2016,10,49*,38.20,156
4,Delhi Daredevils,Q de Kock,IPL 2016,13,108,37.08,327
5,Delhi Daredevils,KK Nair,IPL 2016,14,83*,35.70,297
6,Delhi Daredevils,KK Nair,IPL 2017,14,64,21.61,226
7,Delhi Daredevils,P Negi,IPL 2016,8,19*,28.50,59
8,Delhi Daredevils,SV Samson,IPL 2016,14,60,26.45,259
9,Delhi Daredevils,SV Samson,IPL 2017,14,102,27.57,273
10,Delhi Daredevils,RR Pant,IPL 2016,10,69,24.75,152
